label	time	memory	pvalue	zcore
22Rv1.CTCF.chm13v2.0	2.27	91936.0	0.25412665186788186	0.7527884344624761
22Rv1.H3K27ac.chm13v2.0	2.21	88188.0	1.1458547175267006e-05	4.7436445547101345
BE2C.H3K27me3.chm13v2.0	1.05	88772.0	0.9998843207593672	-2.9586008050720345
BE2C.H3K36me3.chm13v2.0	2.03	89656.0	0.999982081540154	-3.315167658942036
BE2C.H3K4me1.chm13v2.0	1.72	100760.0	1.0	-3.5597220429495025
BE2C.H3K9me3.chm13v2.0	1.42	76168.0	0.9858782764937631	-1.8847694758468516
C4-2B.CTCF.chm13v2.0	2.43	93472.0	0.9963412507536525	-2.398427498490825
C4-2B.H3K27ac.chm13v2.0	2.29	90744.0	0.00609263246530971	2.7294540712911353
Caco-2.H3K4me1.chm13v2.0	2.33	112572.0	0.9998650950342266	-2.9901316330645815
Caco-2.H3K9me3.chm13v2.0	2.11	92436.0	0.9873336555206831	-1.9943252906226723
HAP-1.H3K27ac.chm13v2.0	1.18	86900.0	0.9826489097416999	-1.8345815248352044
HAP-1.H3K27me3.chm13v2.0	1.75	100372.0	0.9999992200644345	-3.570246799846534
HAP-1.H3K36me3.chm13v2.0	1.59	91292.0	0.9999992566729444	-3.7495423565326003
HAP-1.H3K4me1.chm13v2.0	2.7	113576.0	0.9871672609749091	-1.9374932587764375
HAP-1.H3K4me3.chm13v2.0	1.49	79512.0	0.8048547077638512	-0.7348962264196096
HAP-1.H3K9me3.chm13v2.0	2.06	80400.0	0.9624831857560868	-1.548546823430287
HL-60.H3K27ac.chm13v2.0	2.12	87968.0	0.9872562793742637	-1.9394307063942369
MG63.H3K27me3.chm13v2.0	0.89	91180.0	0.996242652608445	-2.2737714506136784
MG63.H3K36me3.chm13v2.0	2.07	94912.0	0.9999994910151947	-3.7990576988337112
MG63.H3K4me3.chm13v2.0	1.65	82628.0	0.3909547664540825	0.37800967668103036
MG63.H3K9me3.chm13v2.0	1.58	96376.0	0.9999902152529886	-3.5287066034611714
RWPE1.CTCF.chm13v2.0	2.37	87728.0	0.9639053227468206	-1.6131194036364989
RWPE1.H3K27ac.chm13v2.0	2.44	102132.0	0.9078981817193734	-1.186174883910219
RWPE2.CTCF.chm13v2.0	2.24	94772.0	0.7829437161045888	-0.676316920476859
RWPE2.H3K27ac.chm13v2.0	1.84	91700.0	0.9971005680063878	-2.3924106443426107
RWPE2.H3K36me3.chm13v2.0	0.96	91292.0	0.9999982883615314	-3.709668394934926
SJCRH30.H3K27ac.chm13v2.0	1.68	89584.0	0.9852980951191959	-1.9049203046742749
SJCRH30.H3K27me3.chm13v2.0	1.58	89300.0	0.999637612389545	-2.7213904859562663
SJCRH30.H3K36me3.chm13v2.0	2.54	97240.0	0.9999998674103385	-3.8338355433500357
SJCRH30.H3K4me1.chm13v2.0	2.47	110464.0	0.999997669606403	-3.4032472046966222
SJCRH30.H3K4me3.chm13v2.0	1.42	83400.0	0.6717298402289563	-0.34124186702933823
SJCRH30.H3K9me3.chm13v2.0	1.78	87964.0	0.9998202248576105	-2.8688232355312606
SJSA1.H3K27ac.chm13v2.0	0.87	92288.0	0.9911959906272166	-2.0440113463826033
SJSA1.H3K27me3.chm13v2.0	2.01	94104.0	0.999657825458762	-2.83233930469614
SJSA1.H3K36me3.chm13v2.0	1.69	93776.0	0.9999499900772112	-3.279780075470332
SJSA1.H3K4me3.chm13v2.0	1.42	79720.0	0.04688432558494685	1.8688300135932996
SJSA1.H3K9me3.chm13v2.0	2.4	93892.0	0.9219559918982537	-1.2692282218303377
VCaP.CTCF.chm13v2.0	2.34	91988.0	0.8300760278646815	-0.8431405546718658
VCaP.H3K27ac.chm13v2.0	2.3	102104.0	0.39603894609132007	0.35134652110828823
brain-microvascular-endothelial-cell.H3K27ac.chm13v2.0	1.82	92436.0	0.9937580737158742	-2.1275407551420655
brain-microvascular-endothelial-cell.H3K27me3.chm13v2.0	2.04	81160.0	0.9998925750077123	-2.882849539041768
brain-microvascular-endothelial-cell.H3K36me3.chm13v2.0	1.63	89356.0	0.9999823290709633	-3.2200779189014224
epithelial-cell-of-prostate-male-2.CTCF.chm13v2.0	1.83	96096.0	0.9301558736764249	-1.3311531538360568
epithelial-cell-of-prostate-male.CTCF.chm13v2.0	2.56	96500.0	0.8806751982153465	-1.0622354906248186
epithelial-cell-of-prostate-male.H3K27ac.chm13v2.0	2.37	96448.0	0.9394931155127805	-1.3708766060498012
