group	ks_dist_mean	ks_dist_sd	rel_sigma_-4_mean	rel_sigma_-4_sd	rel_sigma_-3_mean	rel_sigma_-3_sd	rel_sigma_-2_mean	rel_sigma_-2_sd	rel_sigma_-1_mean	rel_sigma_-1_sd	rel_sigma_1_mean	rel_sigma_1_sd	rel_sigma_2_mean	rel_sigma_2_sd	rel_sigma_3_mean	rel_sigma_3_sd	rel_sigma_4_mean	rel_sigma_4_sd
10	0.006724575543283396	7.202762200672654e-12	0	0.0	0	0.0	4.337586740207314	2.7332743113179597e-09	0.7512884733675734	3.987488636778477e-10	0.33677339973219217	5.876195580836645e-11	0.43724671806548465	6.517520427950412e-11	0.5116799118496322	8.251944023862927e-11	0.2726646647219531	1.549846244699696e-10
20	0.002546070840629923	6.63878345833788e-12	0	0.0	6.776897637758878	3.9390970376711295e-09	1.584806378779972	7.605583206769436e-10	0.4522532289556979	1.283878553610367e-10	0.24608600066502911	1.517476266635559e-11	0.36110380281532134	6.494422586337239e-11	0.4355793868196019	1.356453801613146e-10	0.2281076853388607	4.328032485395472e-10
50	0.000765967456560622	3.669043869845954e-08	3.574185878840949	0.00013123842492382786	1.355566300090457	5.1755962165299435e-05	0.5187332022282963	2.0996214539015988e-05	0.28560423703820137	1.0868214751285512e-05	0.17013585850564755	4.00409444075739e-06	0.27721259212292	6.405968030134314e-06	0.33910671735219805	7.68252455135272e-06	0.3409170360995551	9.704940322604773e-06
100	0.0003340210721384726	1.3391130886821154e-07	1.479674295604422	0.0003700079825218293	0.6612117872290009	0.0001929329877372859	0.3334112971573626	0.00010663421051962591	0.17682809107266062	5.310876871660099e-05	0.13480347103188536	2.9081265888214916e-05	0.2096777216125145	4.561340283008276e-05	0.2767405048807109	6.006055784592724e-05	0.31157875942171565	7.683282407253883e-05
200	0.00015465137447419791	1.2121774980735036e-07	0.7474670672523873	0.0003272123588969666	0.3938481334296996	0.00021429290023761862	0.2181103319187939	0.00013322141251330272	0.12129239451109053	7.070899420642105e-05	0.09650920298318745	4.382015504123295e-05	0.15335673888367193	7.204875444672346e-05	0.21170470379427148	9.995714494733897e-05	0.25976692674796464	0.00013292355017022572
500	5.8107838715149365e-05	3.325435073455771e-08	0.37571760153833106	0.0001265750751576053	0.2211569481582792	9.134785530398728e-05	0.13123418014082228	6.037185742430403e-05	0.0738064014710017	0.002002103484830628	0.0642329896490878	2.4120054988073966e-05	0.10309240192991737	4.0333996778485775e-05	0.1471178683540175	5.6880114241672306e-05	0.19206777599215466	7.528536207219823e-05
1000	2.853198863415618e-05	2.6522169127610472e-08	0.23395069050504497	0.00013750804598849174	0.14684989785774813	0.00010455770356964675	0.08851973895801786	7.000497612784076e-05	0.05096490189644967	3.8554713855355636e-05	0.04653731966965487	3.1306328156848755e-05	0.07413019569636803	5.229189722422143e-05	0.10922068133716621	7.615134752416351e-05	0.1484760336481972	0.00010344642502213806
2000	1.4146304122732157e-05	1.1792107533471516e-08	0.15397832682095788	8.676220973367587e-05	0.0979454888864686	6.463640872276716e-05	0.06105815469869603	4.383611235849144e-05	0.035170109364006226	2.431489784478648e-05	0.03248912881045508	1.887763991323682e-05	0.05425725577890639	3.351571977535353e-05	0.08013561406331102	4.8304749829576234e-05	0.11212487809746689	0.0003116492012100201
5000	5.666894306815152e-06	5.304863022505396e-09	0.09196047814598675	6.779026232306034e-05	0.05956916690905748	0.00033297525803163263	0.037347851899197204	3.343324741070827e-05	0.021830571902966903	7.927158163268915e-05	0.021144234502826927	1.680319414367254e-05	0.0347548935533429	2.909948190034381e-05	0.05262873743160284	0.00019803499746412124	0.07452972757744147	5.6850605076264944e-05
10000	2.8612876064363755e-06	1.5851877657728384e-09	0.06316438787461275	3.8987635061553906e-05	0.04110611701512614	2.7688916358060064e-05	0.026067804111626902	4.76873157529336e-05	0.015321062273710917	9.919629348233827e-06	0.014810595107096366	9.233405157432904e-06	0.0247677224895329	1.6646710641918574e-05	0.037564037602776816	2.510640137389228e-05	0.05428102941566574	3.533710587038467e-05
20000	1.4557602418884852e-06	7.467905165428139e-10	0.04363044137240372	2.96149817167555e-05	0.02851130824432665	2.0536579629218254e-05	0.018068466323772608	1.3379964769240368e-05	0.010618238012163151	7.5745315088903405e-06	0.010363967264337373	6.330089360291498e-06	0.017411259439768068	1.1351264447609981e-05	0.026776188862885946	6.303408687924172e-05	0.039051715277362446	2.4995494226148878e-05
