label	time	memory	pvalue	zcore
GI2.all.exon	264.98	167016.0	1.0	-8.165266632360382
OMIM.all.exon	297.35	168736.0	0.9993650664930298	-3.0867465953490116
HI1.all.exon	345.52	180980.0	1.0	-10.035048026808614
Prot-cod.all.exon	5457.18	484684.0	0.9870073213037219	-2.197173185790345
All-genes.all.exon	5847.83	497876.0	0.10594550051954417	1.2536747756295852
Decipher-gain.all.exon	0.73	81784.0	0.9834382230409907	-1.4268908097574446
GI3.all.exon	1054.66	240364.0	0.49266712620004127	0.012063406012453133
HI2.all.exon	302.81	170700.0	0.9999999999874245	-6.1236846459320855
HPO-rec.all.exon	48.49	113488.0	0.999593173623781	-3.1501583173195202
CGD-rec.all.exon	61.88	118440.0	0.9999993881831598	-4.439896887053646
Essential.all.exon	239.06	161420.0	0.9999999999999888	-6.810536583409826
HPO-dom.all.exon	34.09	107232.0	0.2389441414424407	0.7031661916349936
Cancer-loss.all.exon	10.91	94992.0	0.9059047709548854	-1.2843561794022957
embryonic-lethal.all.exon	7.56	92184.0	0.9999808253626666	-3.4527553386138696
HI3.all.exon	1203.17	261432.0	0.28594626058878764	0.5612359088926933
GI1.all.exon	551.9	208264.0	1.0	-9.850655071567997
Paralogs.all.exon	2.7	85816.0	1.436857610641105e-72	27.456834184782206
phen.all.exon	1509.09	292576.0	0.9999999984736488	-5.616654899645481
Cancer-gain.all.exon	0.91	81024.0	0.9950499245222475	-1.4436016624007164
Decipher-loss.all.exon	1.11	82180.0	0.9795360479052349	-1.713231320097992
ISCA-gain.all.exon	1.18	82264.0	0.0023054679017217995	3.5449802837549313
CGD-dom.all.exon	23.79	103320.0	0.9870838639578449	-2.103499495780461
No-phen.all.exon	1348.4	273280.0	0.00037913247726399147	3.457738237830465
Curated-gain.all.exon	3.31	87008.0	0.0005812842911926965	3.6781066398179103
Curated-loss.all.exon	25.15	102648.0	0.12769334107842778	1.1509960140576752
ISCA-loss.all.exon	8.04	88980.0	0.9802532830089989	-1.8937533096825883
Non-cod.all.exon	12.28	96512.0	2.0593608856704732e-54	20.808218792570376
