group	time_seconds_avg	time_second_sd	mem_mb_avg	mem_mb_sd
10	1.53	0.2879875728312997	102.83203125	0.2111467955332978
20	1.478	0.28370852351628334	102.9123046875	0.17647421432564714
50	1.391	0.1843023831127873	102.9765625	0.1599881780171996
100	1.5935	0.32595245052001065	102.9697265625	0.1366093018211366
200	1.6235	0.28514585372180473	102.9943359375	0.091885193376417
500	2.03	0.15210799487621668	102.971875	0.19172528125000818
1000	4.3500000000000005	0.30282876870914155	103.11640625	0.1630244021455111
2000	12.593	0.34601642796412524	103.1748046875	0.20316008600697388
5000	78.1905	1.8755138944889342	103.8916015625	0.15945960791960506
10000	311.8475	12.802841327323844	110.9970703125	0.16713655054802132
20000	1051.268	24.274728596238784	137.0515625	0.17904095638289022
