group	time_seconds_avg	time_second_sd	mem_mb_avg	mem_mb_sd
10	1.315	0.14129103968311948	102.83828125	0.19533470268539277
20	1.5235	0.27413548321568065	102.938671875	0.1713841488294164
50	1.5125	0.25784277134882433	102.9201171875	0.19580724755326942
100	1.5195	0.31665147701335117	103.0080078125	0.16584186921090704
200	1.4035	0.15135441154699406	103.009375	0.08359163640958095
500	1.4815	0.2152177599793435	102.960546875	0.12883396099058286
1000	1.77	0.23936319024049055	103.0892578125	0.15294234940146553
2000	2.0315	0.11806666270419122	103.1337890625	0.22361496836847347
5000	2.9825	0.1946893612101623	103.844921875	0.1904455279764625
10000	4.6530000000000005	0.25815336119201876	110.8849609375	0.23164346790879936
20000	7.8565	0.466298695777943	137.0158203125	0.20165473636107445
