group	time_seconds_avg	time_second_sd	mem_mb_avg	mem_mb_sd
10	1.1305	0.12617761082570952	102.8861328125	0.22566488974246623
20	1.177	0.1447356937753489	102.9078125	0.15408345812661584
50	1.196	0.11568559934035368	102.8689453125	0.23350123242126405
100	1.2495	0.13212733093099008	102.9220703125	0.16048173260626392
200	1.4125	0.18095870421612478	102.9369140625	0.1628700151829769
500	1.688	0.13717449509753316	102.91796875	0.16592187271542813
1000	2.2755	0.21532044662976643	103.06328125	0.17876263699809633
2000	3.4855	0.2237591515329303	103.27734375	0.1851509583132348
5000	6.81	0.23697657001662023	103.9298828125	0.13900794386489296
10000	12.016	0.4293863430279862	105.0396484375	0.18999452112810133
20000	22.5255	0.5835325724909407	106.8240234375	0.16579343684278916
