label	time	memory	pvalue	zcore
GI2.all.exon	14.71	162488.0	1.0	-9.918823511605934
OMIM.all.exon	22.14	164644.0	0.9999993195034209	-4.83063351174048
HI1.all.exon	16.28	175896.0	1.0	-11.71051477135043
Prot-cod.all.exon	66.24	463180.0	0.9999999985860267	-5.941286044825815
All-genes.all.exon	61.42	476040.0	0.9963785840830154	-2.6854679615796986
Decipher-gain.all.exon	0.72	81228.0	0.9341634189005447	-1.5075366294411274
GI3.all.exon	25.86	231540.0	0.9966419153476985	-2.7105995065929447
HI2.all.exon	15.05	165616.0	0.9999999999999983	-7.881560607598866
HPO-rec.all.exon	6.71	111684.0	0.9999891708347478	-4.247071036453157
CGD-rec.all.exon	7.68	116484.0	0.9999999869097883	-5.565231750373533
Essential.all.exon	32.11	157252.0	1.0	-8.330986438852772
HPO-dom.all.exon	5.73	106588.0	0.6380198408813985	-0.3531709055873943
Cancer-loss.all.exon	3.16	93224.0	0.9791668032318431	-2.0368368563368753
embryonic-lethal.all.exon	10.26	90536.0	0.9999627304528507	-3.96131188525672
HI3.all.exon	28.67	250652.0	0.9863894474521877	-2.208332475240692
GI1.all.exon	20.42	200988.0	1.0	-11.63360175054993
Paralogs.all.exon	2.46	84896.0	3.309942869231513e-150	26.077168908048144
phen.all.exon	33.0	281672.0	0.9999999999999999	-8.23445740075494
Cancer-gain.all.exon	2.85	81128.0	0.9355789991940171	-1.5186842155293694
Decipher-loss.all.exon	5.57	82472.0	0.9721977524612864	-1.914122579447829
ISCA-gain.all.exon	1.03	81820.0	0.0007068534468999125	3.1918378134633887
CGD-dom.all.exon	4.78	101824.0	0.998497764547795	-2.9672801232822987
No-phen.all.exon	30.26	262884.0	0.32783604391687654	0.4458963930679629
Curated-gain.all.exon	2.56	85984.0	0.0014746040359900335	2.9729829773444414
Curated-loss.all.exon	4.65	101916.0	0.4621781999649766	0.09494766044032066
ISCA-loss.all.exon	24.85	88996.0	0.9929488027367213	-2.4546445727187525
Non-cod.all.exon	3.96	95512.0	4.297266549644958e-81	19.035934729900525
