label	time	memory	pvalue	zcore
GI2.all.exon	41.85	128604.0	1.0	-8.34020000092863
OMIM.all.exon	42.91	127136.0	0.9999999065697959	-5.211955470275708
HI1.all.exon	46.43	142440.0	1.0	-10.246313170206557
Prot-cod.all.exon	204.94	319272.0	0.9999976919550961	-4.581519758680778
All-genes.all.exon	185.94	324368.0	0.9237831758074375	-1.4309880208100816
Decipher-gain.all.exon	0.81	82008.0	0.8601833784827684	-1.0811435966911864
GI3.all.exon	76.28	163804.0	0.8577833627086839	-1.0704133905072453
HI2.all.exon	44.37	128596.0	0.9999999999999117	-7.365451729398446
HPO-rec.all.exon	17.93	91948.0	0.9999827124908667	-4.1410297006710906
CGD-rec.all.exon	19.9	94348.0	0.9999998086930846	-5.077410404040691
Essential.all.exon	38.72	126252.0	0.9999999999999938	-7.7113563432603245
HPO-dom.all.exon	14.65	90956.0	0.9840316433342333	-2.1452018304454707
Cancer-loss.all.exon	8.95	84584.0	0.9955162963697362	-2.613294199546675
embryonic-lethal.all.exon	6.68	83656.0	0.9999833383336169	-4.149478675609693
HI3.all.exon	86.82	175256.0	0.7468115411442144	-0.6644897334035359
GI1.all.exon	59.02	157256.0	1.0	-10.363341594166664
Paralogs.all.exon	8.9	82068.0	2.7187655483437696e-84	19.417991480100653
phen.all.exon	95.87	206212.0	1.0	-8.821645681416191
Cancer-gain.all.exon	4.1	81584.0	0.9105997217880839	-1.3444572969132789
Decipher-loss.all.exon	7.7	81844.0	0.981127563064589	-2.0776145620299316
ISCA-gain.all.exon	1.3	81152.0	0.2640068190535432	0.6310411203361254
CGD-dom.all.exon	11.98	89272.0	0.9995152119835098	-3.299209264995145
No-phen.all.exon	90.52	185652.0	0.012201769674810792	2.250715863897123
Curated-gain.all.exon	4.8	82792.0	0.04075086480673264	1.7420383746902581
Curated-loss.all.exon	12.11	89596.0	0.8173355966421927	-0.9052578387898281
ISCA-loss.all.exon	5.88	83120.0	0.9769386311616532	-1.994268335755526
Non-cod.all.exon	22.3	84936.0	1.7598749103088236e-46	14.266880401829491
